Protein_Id	GO:0031981	GO:0000228	GO:0070062	GO:0015630	GO:0005768
Q5JU67	0	0	0	1	0
Q9NTM9	1	0	0	0	0
Q96NM4	1	0	0	0	0
Q15319	1	1	0	0	0
O75360	1	1	0	0	0
O95905	1	0	0	0	0
A8MQ03	0	0	1	0	0
P33240	1	0	0	0	0
Q9UID3	1	0	0	0	1
P59768	0	0	1	0	0
Q2NKJ3	1	1	0	0	0
Q8NCR6	0	0	0	1	0
Q9UBT6	1	0	0	0	0
Q16543	0	0	1	0	0
Q9NVC6	1	0	0	0	0
Q16836	1	0	0	0	0
P55884	0	0	1	0	0
O60476	0	0	1	0	0
Q08J23	1	0	1	0	0
P15311	1	0	1	0	1
Q9NQC8	0	0	0	1	0
Q6ZW49	1	0	0	0	0
Q5VVJ2	1	1	0	0	0
P35609	0	0	1	0	0
O43482	1	0	0	0	0
Q9H4B7	0	0	1	1	0
Q96AV8	1	1	0	0	0
P53671	0	0	0	1	0
Q08188	0	0	1	0	0
Q9H611	1	1	0	0	0
Q5XKE5	0	0	1	0	0
O43822	0	0	0	1	0
P47929	0	0	1	0	0
Q9Y287	0	0	1	0	0
P61088	1	0	1	0	0
Q8NEY8	1	0	0	0	0
O75469	1	1	0	0	0
P19320	0	0	1	0	1
P68871	0	0	1	0	0
P41218	1	0	1	0	0
P78545	1	1	0	0	0
Q8IWZ6	0	0	0	1	0
P56211	1	0	0	0	0
P00736	0	0	1	0	0
Q8NFH5	1	0	0	0	0
Q13257	1	0	0	1	0
P23458	0	0	0	0	1
Q99496	1	0	0	0	0
O14503	1	1	0	0	0
P04049	1	0	0	0	0
Q8NI27	1	1	0	0	0
O95096	1	1	0	0	0
Q8IWB7	0	0	0	0	1
O14497	1	1	0	0	0
Q9BZE3	1	1	0	0	0
O95841	0	0	1	0	0
Q01543	1	1	0	0	0
Q12951	1	1	0	0	0
P62995	1	0	0	0	0
P17516	0	0	1	0	0
Q9NQX4	0	0	1	0	0
Q53ET0	1	0	1	0	0
Q9Y6X8	1	1	0	0	0
Q01860	1	0	0	0	0
P12314	0	0	0	0	1
Q96BD8	0	0	0	1	0
Q9H8N7	1	0	0	0	0
P11047	0	0	1	0	0
Q9UM73	0	0	1	0	0
O94760	0	0	1	0	0
O14828	0	0	1	0	1
P29372	1	0	0	0	0
Q8NFZ5	1	0	0	0	0
Q9BXL8	1	0	0	0	0
Q9NTJ4	1	0	0	0	0
Q96BF6	1	1	0	0	0
Q9Y5S2	0	0	1	0	0
Q9UIF9	1	0	0	0	0
P31749	1	0	0	1	0
Q99988	0	0	1	0	0
Q14526	1	0	0	0	0
O75333	1	1	0	0	0
Q96F10	0	0	1	0	0
P11597	0	0	1	0	0
O14558	1	0	0	0	0
Q6UWI2	1	0	0	0	1
Q9Y3E1	1	0	0	0	0
O43390	1	0	0	0	0
Q9Y6I4	1	1	0	0	0
Q9HCK4	0	0	1	0	0
Q99640	1	0	0	0	0
A6NHQ2	1	0	0	0	0
P24864	1	0	0	1	0
Q9P2L0	0	0	0	1	0
Q8NFT8	0	0	0	0	1
Q8N8E2	1	0	0	0	0
O43542	1	1	0	0	0
Q92786	1	1	0	0	0
Q09472	1	0	0	0	0
P0DML2	0	0	0	0	1
Q8TC26	0	0	0	0	1
P0CG32	1	0	0	0	0
O95164	0	0	1	0	0
P19634	1	0	1	0	0
P31689	0	0	1	1	0
Q9UK32	1	0	0	0	0
Q9BVC5	1	0	0	0	0
Q00839	1	1	0	1	0
P17693	0	0	0	0	1
A8MU46	0	0	0	1	0
O60235	0	0	1	0	0
Q9H9S5	1	0	0	0	0
Q6PGN9	1	0	0	1	0
P18074	1	0	0	1	0
Q8TCQ1	0	0	0	0	1
P52566	0	0	1	0	0
Q9NZ42	0	0	0	0	1
O94919	0	0	1	0	0
Q9UBP5	1	1	0	0	0
Q9BUL8	0	0	1	0	0
P35236	1	0	0	0	0
Q13829	0	0	0	0	1
P14651	1	1	0	0	0
Q16342	0	0	1	0	0
O00206	0	0	0	0	1
P08727	0	0	1	0	0
Q76L83	1	1	0	0	0
P22748	0	0	1	0	0
Q01954	1	0	0	0	0
P05067	0	0	1	0	1
Q9Y2Q0	0	0	1	0	0
O00470	1	1	0	0	0
Q9NPF4	1	0	0	0	0
Q13948	1	1	0	0	0
Q5XUX1	1	0	0	0	0
P51153	0	0	1	0	1
Q16795	1	0	0	0	0
Q9BQS8	0	0	0	0	1
Q8WWK9	0	0	0	1	0
Q96BW1	1	0	0	0	0
Q13427	1	0	0	0	0
Q14527	1	0	0	0	0
Q15126	0	0	1	0	0
O43395	1	0	0	0	0
P15391	0	0	1	0	0
O75400	1	0	0	0	0
Q9BSH5	1	0	0	0	0
P31268	1	1	0	0	0
Q9NVA2	0	0	0	1	0
P46108	0	0	1	0	0
Q68CZ6	1	0	0	1	0
O14966	0	0	1	0	1
Q15642	1	0	1	0	0
Q9NUT2	1	0	0	0	0
Q6ZS17	0	0	1	0	0
Q9H5Z6	1	0	0	0	0
O60341	1	1	0	0	0
Q96MT8	0	0	0	1	0
Q9P2G4	0	0	0	1	0
Q15544	1	0	0	0	0
Q13286	0	0	0	0	1
Q01130	1	0	0	0	0
Q86WA9	1	0	1	0	0
O43379	0	0	0	1	0
Q13200	1	0	1	0	0
Q9NS39	1	0	0	0	0
Q9UN37	0	0	1	1	1
O14924	1	1	0	0	0
Q9H6F2	0	0	1	0	0
Q2M1V0	1	1	0	0	0
Q99983	0	0	1	0	0
Q9UHI7	0	0	1	0	0
O95639	1	0	0	0	0
Q8IUL8	0	0	1	0	0
P26572	0	0	1	0	0
Q9HBE1	1	0	0	0	0
Q02577	1	1	0	0	0
Q8WXF1	1	0	0	0	0
P55072	1	0	1	0	0
P50548	1	1	0	0	0
Q00978	1	1	0	0	0
Q9H4M9	0	0	1	0	1
P63244	1	0	1	0	0
Q9UPS6	1	0	0	0	0
O15511	0	0	1	0	0
Q9BXF9	0	0	1	1	0
Q05655	1	0	1	0	0
Q9UKD2	1	0	0	0	0
P13796	0	0	1	0	0
A0PJK1	0	0	1	0	0
Q03164	1	0	0	0	0
Q6PGQ7	0	0	0	1	0
Q96JD6	1	0	0	0	0
Q96S21	0	0	0	0	1
Q05513	0	0	1	0	0
Q9Y4C8	1	0	0	0	0
Q9H4S2	1	1	0	0	0
P62854	1	0	1	0	0
O95834	0	0	0	1	0
Q9ULK4	1	0	0	0	0
Q1KMD3	1	0	0	0	0
Q8N6I1	1	0	0	0	0
P35237	0	0	1	0	0
P98179	1	0	0	0	0
Q9UHL4	0	0	1	0	0
Q8NBR6	1	0	0	0	0
Q5BKZ1	1	0	0	0	0
O43567	1	0	0	0	1
Q15916	1	0	0	0	0
Q9H0B8	0	0	1	0	0
P12956	1	1	0	0	0
P50591	0	0	1	0	0
Q06033	0	0	1	0	0
P55895	1	0	0	0	0
O60784	0	0	1	0	1
Q9HCN3	0	0	1	0	0
Q8N1G1	1	0	0	0	0
Q6NTF9	1	0	0	0	0
Q8N6N3	1	0	0	0	0
Q9Y3Z3	1	0	0	0	0
P38646	0	0	1	0	0
P35749	0	0	1	0	0
Q9UGJ1	0	0	0	1	1
Q13585	1	0	0	0	0
P04424	0	0	1	0	0
Q13561	0	0	1	1	0
Q9HAV7	1	0	0	0	0
P11586	0	0	1	0	0
O75541	1	0	0	0	0
Q99081	1	1	0	0	0
P52926	1	1	0	0	0
Q9HBJ8	0	0	1	0	0
P50222	1	1	0	0	0
Q8NEV8	0	0	0	0	1
Q8NEA5	0	0	1	0	0
P28482	1	0	0	1	1
Q86WX3	1	0	0	0	0
Q8TBP0	0	0	0	0	1
Q9P2Y5	0	0	0	1	1
O43143	1	0	0	0	0
P50219	1	1	0	0	0
Q15269	1	0	0	0	0
Q9NW64	1	0	0	0	0
Q6P9B6	1	0	0	0	0
Q9UI43	1	0	0	0	0
Q8TF09	0	0	0	1	0
Q9Y2Y0	0	0	0	1	0
Q96DI7	1	0	0	0	0
Q8WW01	1	0	0	0	0
P09430	1	1	0	0	0
P23409	1	1	0	0	0
Q5JVS0	1	0	0	0	0
Q8N4L2	0	0	0	0	1
P35269	1	0	0	0	0
Q9H444	0	0	1	0	1
Q6IPU0	1	0	0	0	0
Q02040	1	0	0	0	0
Q8N140	1	0	0	0	0
P41595	1	0	0	0	0
O15541	1	0	0	0	0
Q86VN1	0	0	1	0	1
P55259	0	0	1	0	0
Q9GZS3	1	0	0	0	0
Q9H267	0	0	0	0	1
P08651	1	1	0	0	0
Q9HCC9	0	0	0	0	1
Q9NRR4	1	0	0	0	0
Q9H204	1	0	0	0	0
Q8TEY5	1	1	0	0	0
Q8IUF8	1	0	0	0	0
Q8NCM8	0	0	1	1	0
Q6P4R8	1	1	0	0	0
Q5SXM8	1	0	0	0	0
P09629	1	1	0	0	0
O60765	1	0	0	0	0
P62877	1	0	0	0	0
P26010	0	0	1	0	0
P04180	0	0	1	0	0
M0R2J8	0	0	0	1	0
Q96A47	1	1	0	0	0
Q6ZQN7	0	0	1	0	0
O43313	1	0	0	0	0
Q8NHY2	1	0	0	0	0
Q8WWL7	1	0	0	0	0
Q641Q3	0	0	1	0	0
P52951	1	1	0	0	0
P82933	1	0	0	0	0
Q14653	1	1	0	0	0
Q9Y603	1	1	0	0	0
Q8TBF2	0	0	1	0	0
P50150	0	0	1	0	0
Q9NXF8	1	0	0	0	0
Q92973	0	0	1	0	0
P01033	0	0	1	0	0
Q96RI1	1	1	0	0	0
Q07020	1	0	0	0	0
A6NI79	0	0	0	1	0
Q9BW62	0	0	0	1	0
Q13418	1	0	0	0	0
Q6U7Q0	1	0	0	1	0
P49591	0	0	1	0	0
O94842	1	1	0	0	0
Q00653	1	1	0	0	0
Q9ULB1	1	0	0	0	0
Q9P2G9	1	0	0	0	0
Q7L7L0	1	1	1	0	0
O43929	1	1	0	0	0
O43809	1	0	0	1	0
Q13164	1	0	0	0	0
P62820	0	0	1	0	0
Q5FBB7	1	0	0	1	0
Q8NAP8	1	1	0	0	0
P55347	1	1	0	0	0
P07195	0	0	1	0	0
Q16666	1	0	0	0	0
