Protein_Id	GO:1990234	GO:1903561	GO:0005740	GO:0070013	GO:0005789
Q9NTM9	0	0	0	1	0
Q96NM4	0	0	0	1	0
Q15319	0	0	0	1	0
Q16850	0	0	0	0	1
O75360	0	0	0	1	0
O95905	0	0	0	1	0
A8MQ03	0	1	0	0	0
P33240	0	0	0	1	0
Q9UID3	0	0	0	1	0
P59768	0	1	0	0	0
Q2NKJ3	0	0	0	1	0
Q9UBT6	0	0	0	1	0
Q16543	0	1	0	0	0
Q9NVC6	0	0	0	1	0
Q16836	0	0	0	1	0
P55884	0	1	0	0	0
P48047	0	0	1	0	0
O60476	0	1	0	0	0
Q08J23	0	1	0	1	0
P61599	1	0	0	0	0
P15311	0	1	0	1	0
Q6ZW49	1	0	0	1	0
Q5VVJ2	0	0	0	1	0
P35609	0	1	0	1	0
O43482	0	0	0	1	0
Q9H4B7	0	1	0	0	0
Q96AV8	0	0	0	1	0
Q08188	0	1	0	0	0
Q9NRP4	0	0	1	1	0
Q9H611	0	0	0	1	0
Q5XKE5	0	1	0	0	0
P47929	0	1	0	0	0
Q9Y287	0	1	0	0	0
P61088	1	1	0	1	0
Q8NEY8	0	0	0	1	0
O75469	0	0	0	1	0
P19320	0	1	0	0	0
P68871	0	1	0	1	0
O95258	0	0	1	0	0
P15735	1	0	0	0	0
P13804	0	0	0	1	0
Q9Y6N1	0	0	1	0	0
P41218	0	1	0	1	0
Q8IV13	1	0	0	0	0
P78545	0	0	0	1	0
P56211	0	0	0	1	0
P00736	0	1	0	0	0
Q8NFH5	0	0	0	1	0
Q13257	0	0	0	1	0
P01344	0	0	0	1	0
Q99496	1	0	0	1	0
O14503	0	0	0	1	0
O75145	0	1	0	0	0
P04049	0	0	1	1	0
Q9NRZ7	0	0	0	0	1
Q8NI27	0	0	0	1	0
O95096	0	0	0	1	0
O14497	0	0	0	1	0
O95841	0	1	0	0	0
Q9BZE3	0	0	0	1	0
Q01543	0	0	0	1	0
Q12951	0	0	0	1	0
P62995	0	0	0	1	0
P17516	0	1	0	0	0
Q9NQX4	0	1	0	0	0
Q53ET0	0	1	0	1	0
Q9Y6X8	0	0	0	1	0
Q01860	0	0	0	1	0
Q9H8N7	0	0	0	1	0
P30519	0	0	0	0	1
P11047	0	1	0	1	0
Q9UM73	0	1	0	0	0
O94760	0	1	0	0	0
O14828	0	1	0	0	0
P29372	0	0	0	1	0
Q8NFZ5	0	0	0	1	0
Q7Z434	0	0	1	0	0
Q9BXL8	0	0	0	1	0
Q9NTJ4	0	0	0	1	0
Q96BF6	0	0	0	1	0
P36896	1	0	0	0	0
Q9Y5S2	0	1	0	0	0
Q9UIF9	0	0	0	1	0
Q07326	0	0	0	0	1
P31749	0	0	0	1	0
Q99988	0	1	0	0	0
Q14526	0	0	0	1	0
Q96F10	0	1	0	0	0
Q9UGM6	0	0	0	1	0
O75333	0	0	0	1	0
P11597	0	1	0	0	0
Q14558	1	0	0	0	0
O14558	0	0	0	1	0
Q6UWI2	0	0	0	1	0
Q9Y3E1	0	0	0	1	0
O43390	0	0	0	1	0
Q9Y6I4	0	0	0	1	0
Q9HCK4	0	1	0	0	0
Q7L5N7	0	0	0	0	1
Q99640	0	0	0	1	0
A6NHQ2	0	0	0	1	0
Q96S16	0	0	0	1	0
P24864	1	0	0	1	0
Q8N8E2	1	0	0	1	0
O43542	0	0	0	1	0
Q01523	0	0	0	1	0
Q09472	0	0	0	1	0
Q92786	0	0	0	1	0
P0DML2	0	0	0	1	0
A2RU49	0	0	0	1	0
P0CG32	0	0	0	1	0
O95164	0	1	0	0	0
P19634	0	1	0	1	0
P31689	0	1	0	0	1
Q9UK32	0	0	0	1	0
Q9BVC5	0	0	0	1	0
Q00839	0	0	0	1	0
Q9Y672	0	0	0	0	1
O60235	0	1	0	0	0
Q9H9S5	0	0	0	1	0
Q6PGN9	0	0	0	1	0
P18074	1	0	0	1	0
Q8TCQ1	0	0	0	0	1
P52566	0	1	0	0	0
O94919	0	1	0	0	0
Q9UBP5	0	0	0	1	0
Q9BUL8	0	1	0	0	0
P35236	0	0	0	1	0
Q13829	1	0	0	0	0
P14651	0	0	0	1	0
Q16342	0	1	0	0	0
Q9Y3Q3	0	0	0	0	1
P08727	0	1	0	0	0
Q9P0J1	0	0	0	1	0
Q76L83	0	0	0	1	0
P22748	0	1	0	0	0
P05067	0	1	0	1	0
Q01954	0	0	0	1	0
Q9Y2Q0	0	1	0	0	0
O00470	0	0	0	1	0
Q9NPF4	0	0	0	1	0
Q13948	0	0	0	1	0
P51153	0	1	0	0	0
Q5XUX1	0	0	0	1	0
Q16795	0	0	1	1	0
Q5VWC8	0	0	0	0	1
Q96BW1	0	0	0	1	0
Q13427	0	0	0	1	0
P19404	0	0	1	0	0
Q14527	0	0	0	1	0
Q15126	0	1	0	0	0
O43395	0	0	0	1	0
P15391	0	1	0	0	0
O75400	0	0	0	1	0
