,gene_id,abundance
0,AT1G68700,0.012
1,AT1G65990,0.107
2,AT5G45070,2.66
3,AT3G59610,0.003
4,AT1G44608,0.01
5,AT5G50490,0.676
6,AT1G19250,0.497
7,AT3G09640,13.9
8,AT1G48325,0.029
9,AT2G25810,12.9
10,AT1G26790,0.003
11,AT1G20130,26.8
12,AT2G34530,0.165
13,AT2G43860,0.036
14,AT4G19050,0.518
15,AT4G15370,0.434
16,AT4G37400,0.008
17,AT5G18730,0.005
18,AT5G03920,0.039
19,AT2G42955,0.603
20,AT1G63055,0.403
21,AT1G13130,0.383
22,AT3G26760,2.29
23,AT4G19130,0.198
24,AT1G67290,9.05
25,ATCG00830,706.0
26,AT2G31210,0.004
27,AT3G16040,0.851
28,AT5G09910,0.447
29,AT4G06534,0.008
30,AT2G03560,0.003
31,AT2G02030,0.014
32,AT1G47603,0.0
33,AT2G43480,0.591
34,AT4G16920,1.57
35,AT1G16230,0.86
36,AT3G52010,0.013
37,AT3G14030,0.356
38,AT5G58910,0.055
39,AT5G28650,0.01
40,AT4G04500,0.172
41,AT5G13150,0.278
42,AT5G59260,0.316
43,AT3G01620,0.008
44,AT3G26320,0.021
45,AT3G26270,0.141
46,AT1G52900,0.018
47,AT1G63630,0.009
48,AT1G54890,0.53
49,AT3G13229,0.0
50,AT1G61390,0.544
51,AT2G33260,0.581
52,AT3G13090,0.208
53,AT1G35530,0.088
54,AT1G22460,0.004
55,AT4G28780,9.51
56,AT5G10890,0.628
57,AT4G11780,0.074
58,AT2G23945,0.299
59,AT4G38870,0.024
60,AT3G58210,0.184
61,AT4G39480,2.58
62,AT1G36940,0.023
63,AT3G14530,0.672
64,AT1G71400,0.118
65,AT5G50070,0.297
66,AT1G27920,0.21
67,AT3G62280,0.051
68,AT3G49330,0.028
69,AT2G25700,1.22
70,AT3G19230,0.005
71,AT1G68290,1.76
72,AT4G24250,0.006
73,AT4G31680,0.311
74,AT1G51620,0.547
75,AT2G22920,2.16
76,AT3G22860,0.478
77,AT5G27980,2.1
78,AT1G60090,0.098
79,AT2G30810,0.062
80,AT5G63390,0.003
81,AT5G51890,0.06
82,AT1G66780,0.005
83,AT4G20000,0.009
84,AT3G24690,0.413
85,AT3G45410,0.168
86,AT1G44130,1.51
87,AT3G48770,0.117
88,AT4G38070,3.67
89,AT5G41610,0.133
90,AT1G24070,0.093
91,AT3G22930,1.28
92,AT3G07195,2.83
93,AT2G21850,0.015
94,AT3G56100,4.64
95,AT2G17750,0.273
96,AT3G60330,17.3
97,AT4G25434,0.021
98,AT4G23700,0.21
99,AT2G32590,1.47
100,AT3G16900,0.013
101,AT5G01320,4.47
102,AT5G22530,1.38
103,AT1G07450,1.74
104,AT4G03490,0.017
105,AT5G45860,0.895
106,AT2G30400,0.443
107,AT3G21320,0.005
108,AT5G12180,0.106
109,AT5G03710,8.35
110,AT2G20250,0.005
111,AT5G65420,0.008
112,AT5G06590,1.21
113,AT1G21620,0.009
114,AT1G75150,0.288
115,AT1G14730,2.02
116,AT1G16370,0.012
117,AT1G62900,0.085
118,AT2G38320,0.009
119,AT1G69630,0.03
120,AT1G71760,0.413
121,AT4G28556,0.029
122,AT1G27940,0.007
123,AT5G40410,0.245
124,AT4G03930,0.006
125,AT5G25550,1.87
126,ATCG01070,2.42
127,AT1G04020,0.087
128,AT3G16390,13.9
129,AT1G26590,0.378
130,AT5G02640,0.045
131,AT1G17180,18.3
132,AT2G21610,0.163
133,AT5G46610,0.003
134,AT1G78120,0.71
135,AT3G10310,0.138
136,AT5G02190,0.411
137,AT1G12290,0.056
138,AT5G44220,0.027
139,AT4G39190,0.084
140,AT1G65060,1.41
141,AT4G05100,0.027
142,AT5G49160,0.73
143,AT5G15310,0.35
144,AT5G62230,0.143
145,AT3G49142,0.077
146,AT1G62110,1.58
147,AT5G50930,0.015
148,AT3G08870,0.253
149,AT1G58190,0.07
150,AT5G39550,0.084
151,AT5G43870,0.035
152,AT2G38720,1.21
153,AT1G30660,1.78
154,AT1G06710,0.106
155,AT1G26500,0.146
156,AT5G07880,0.455
157,AT1G14960,9.7
158,AT5G12330,1.02
159,AT5G59120,4.7
160,AT3G23890,3.98
