,gene_id,abundance
0,NP_570045.1,1.74
1,NP_477053.2,1.38
2,NP_001138177.1,2.82
3,NP_573178.1,2.77
4,NP_612106.1,3.99
5,NP_649109.3,2.99
6,NP_648014.1,8.58
7,NP_572437.2,13.7
8,NP_001097798.1,3.27
9,NP_573049.2,27.1
10,NP_996042.1,13.2
11,NP_001097820.2,3.5
12,NP_523670.2,1.1
13,NP_001014533.1,3.83
14,NP_001245989.1,0.172
15,NP_788337.1,1.6
16,NP_649680.1,9.92
17,NP_649855.3,3.58
18,NP_001260418.1,1.66
19,NP_001097168.1,2.03
20,NP_731155.1,2.85
21,NP_651944.1,7.26
22,NP_001261835.1,3.27
23,NP_608470.1,8.05
24,NP_612109.3,3.88
25,NP_573079.1,1.85
26,NP_729020.2,1.34
27,NP_728903.1,2.55
28,NP_611712.2,1.62
29,NP_573277.2,1.97
30,NP_001097021.1,1.96
31,NP_001246982.1,1.69
32,NP_001163583.1,2.61
33,NP_572986.1,4.55
34,NP_610265.1,8.4
35,NP_572976.1,3.42
36,NP_001261107.1,0.787
37,NP_001261181.1,1.6
38,NP_524947.1,24.5
39,NP_611401.2,5.67
40,NP_723310.1,107.0
41,NP_723916.1,2.91
42,NP_611391.2,0.763
43,NP_001188790.1,0.799
44,NP_611525.1,1.5
45,NP_524511.1,29.2
46,NP_609010.1,0.247
47,NP_648645.1,2.4
48,NP_608537.3,2.08
49,NP_523502.1,2.84
50,NP_649681.1,0.196
51,NP_649515.3,1.2
52,NP_572233.2,2.36
53,NP_611644.1,1.02
54,NP_524707.1,3.56
55,NP_729470.1,5.26
56,NP_524915.1,1.31
57,NP_648800.1,1.08
58,NP_651733.1,2.22
59,NP_001261243.1,2.99
60,NP_652431.1,3.41
61,NP_001163608.1,10.8
62,NP_649255.1,4.48
63,NP_001245739.1,5.27
64,NP_001163844.1,2.99
65,NP_729143.2,4.33
66,NP_787995.2,3.13
67,NP_650606.2,4.93
68,NP_572191.2,8.7
69,NP_611200.2,2.47
70,NP_652673.2,3.39
71,NP_724335.2,2.77
72,NP_572298.1,0.794
73,NP_610513.2,3.89
74,NP_650031.1,0.639
75,NP_524677.1,0.548
76,NP_001036345.1,11.9
77,NP_525107.1,2.37
78,NP_610706.1,0.827
79,NP_724270.1,15.7
80,NP_001260104.1,1.57
81,NP_001036384.1,0.608
82,NP_649044.3,7.15
83,NP_727307.1,21.8
84,NP_001246272.1,0.407
85,NP_001260254.1,13.2
86,NP_644677.1,2.4
87,NP_611274.1,1.8
88,NP_647700.2,1.95
89,NP_001259701.1,1.61
90,NP_647662.1,2.42
91,NP_649410.1,0.974
92,NP_647923.1,11.8
93,NP_651233.1,0.805
94,NP_649683.1,34.2
95,NP_001163411.1,0.046
96,NP_650392.1,3.99
97,NP_723611.1,5.59
98,NP_572772.1,6.13
99,NP_001033883.2,2.36
100,NP_001014639.1,1.77
101,NP_609851.2,6.0
102,NP_609720.1,1.61
103,NP_611571.2,2.13
104,NP_649376.3,5.74
105,NP_610423.3,1.52
106,NP_001246961.1,0.174
107,NP_724209.1,1.56
108,NP_001189135.1,0.798
109,NP_611511.3,1.01
110,NP_001097092.1,5.61
111,NP_724489.1,2.02
112,NP_001259207.1,1.46
113,NP_001097430.1,11.0
114,NP_727774.2,0.197
115,NP_611313.1,2.89
116,NP_649165.1,0.787
117,NP_573145.1,5.64
118,NP_001097326.1,1.52
119,NP_611930.1,5.69
120,NP_651724.1,2.65
121,NP_610725.1,1.04
122,NP_724661.1,3.39
123,NP_648937.2,42.5
124,NP_649636.1,4.54
125,NP_001245416.1,1.51
126,NP_610428.2,1.36
127,NP_001246452.1,0.493
128,NP_648964.1,0.563
129,NP_730837.1,2.81
130,NP_572697.1,31.4
131,NP_001259211.1,1.22
132,NP_649091.1,2.99
133,NP_001097207.1,11.0
134,NP_649980.1,28.5
135,NP_572168.1,4.73
136,NP_572771.1,2.03
137,NP_788429.1,8.2
138,NP_611172.1,24.3
139,NP_651167.3,1.02
140,NP_001036266.1,1.09
141,NP_724709.1,1.85
