,gene_id,abundance
0,tdcR,0.0
1,yhhZ,0.529
2,yjcF,0.182
3,ydcD,0.834
4,ydeO,0.0
5,ybfC,0.05
6,ariR,0.0
7,mngA,0.188
8,hyfD,0.0
9,citF,0.869
10,phnC,0.192
11,yjfL,0.0
12,hyaA,3.7
13,uidB,0.129
14,ydfD,0.749
15,dgoT,0.264
16,yfaV,0.0
17,thiP,0.017
18,nrfE,0.079
19,rhaM,0.0
20,paoD,0.401
21,hofP,0.782
22,yidL,0.593
23,citD,2.61
24,gabP,0.949
25,paaZ,0.071
26,mokC,0.0
27,yfeN,0.0
28,yghS,0.035
29,fdnG,3.51
30,ygcE,3.91
31,ycjQ,0.639
32,ymfM,0.0
33,gfcD,1.75
34,gatD,645.0
35,mdtE,28.4
36,tynA,0.186
37,idnD,0.04
38,tnaB,1.43
39,yghW,7.92
40,gcl,2.63
41,yphG,0.373
42,ais,48.9
43,ycaM,0.047
44,ygjH,9.51
45,yagL,1.01
46,yjgL,6.17
47,hyfE,0.005
48,allA,0.297
49,rrrD,0.143
50,nrfA,15.1
51,dcuD,0.065
52,hybA,12.1
53,hyfI,0.047
54,gspF,0.201
55,yhbO,136.0
56,ynbD,0.0
57,ybiW,0.072
58,srlB,3.63
59,yoaG,0.0
60,fryA,0.109
61,dmsB,5.57
62,yfdQ,0.111
63,nimT,0.019
64,mlrA,31.7
65,yraH,0.067
66,gntP,0.021
67,tauA,1.04
68,aegA,7.49
69,cynT,0.325
70,melA,23.4
71,yjiK,10.1
72,cadC,0.463
73,tam,53.4
74,nfrA,3.72
75,yagK,0.0
76,appA,4.67
77,lit,1.38
78,mhpE,15.9
79,ygfS,0.088
80,puuE,1.14
81,ydhK,0.546
82,yphC,0.029
83,yafW,8.09
84,hicA,0.104
85,yidG,0.902
86,gutM,0.044
87,ttdT,1.89
88,yhfG,312.0
89,napC,4.4
90,glpD,358.0
91,cas1,5.81
92,alsB,43.2
93,ybcW,7.96
94,ecpD,3.71
95,ddpX,0.583
96,ynjA,1.77
97,yhdT,0.0
98,lldD,80.6
99,kptA,0.926
100,csrD,18.6
101,marC,0.76
102,ybjL,0.653
103,srlD,1.12
104,ygbI,19.5
105,ytfP,114.0
106,cbrB,0.0
107,malQ,38.8
108,ybdJ,0.0
109,yejA,0.72
110,pdeA,0.832
111,kduD,11.6
112,radD,1.91
113,lsrR,14.2
114,yoaC,0.598
115,ansP,0.085
116,ygdQ,0.127
117,dsdA,14.5
118,pspC,10.8
119,lysR,10.0
120,napA,4.33
121,mutT,11.1
122,glpQ,196.0
123,ybjP,176.0
124,rssB,2.99
125,yeeY,3.65
126,frlR,13.6
127,hybD,25.7
128,ydgC,0.096
129,clsA,11.1
130,flk,1.03
131,galP,0.719
132,trmO,14.9
133,dauA,5.41
134,yncD,1.24
135,yaiL,50.1
136,yhbQ,1.01
137,fetA,8.52
138,yaeI,0.0
139,yhjV,0.37
140,dosC,34.9
141,pgpB,1.32
142,truC,1.25
143,arfB,2.01
144,sad,9.77
145,bcr,26.0
146,yggC,0.742
147,nhaA,5.3
148,ydgD,4.3
149,yjaH,1.12
150,emtA,7.24
151,trkA,10.4
152,mtfA,86.2
153,uvrA,82.7
154,oppB,27.7
155,mgrB,0.0
156,dedA,5.59
157,ubiA,3.17
158,amiA,4.32
159,glpX,11.4
160,nudG,1.31
161,rihA,189.0
162,nfo,42.2
163,glnD,36.8
164,slt,77.0
165,yieF,705.0
166,bssR,1.39
167,lpxM,60.8
168,yghB,3.91
169,sfsA,2.03
170,ytfB,81.7
171,emrB,0.011
172,dmsD,10.4
173,fruK,184.0
174,yddM,0.414
175,yojI,0.87
176,epmB,1.82
177,edd,40.9
178,yheS,14.7
179,envZ,2.41
180,lysU,220.0
181,acnA,409.0
182,uspD,168.0
183,exoX,1.71
184,panE,3.13
185,ygdR,107.0
186,yqjK,27.0
187,glk,217.0
188,chaA,1.77
189,yheO,102.0
190,lptG,17.6
191,ubiG,114.0
192,ytfK,7.03
193,rfe,0.305
194,slmA,27.3
195,hemN,25.8
196,yqaA,0.0
197,efeB,0.544
198,ispE,28.2
199,trmA,77.3
200,gsiB,251.0
201,phoP,404.0
202,deoB,884.0
203,fadL,84.5
204,cpxA,5.29
205,entS,0.21
206,fdoG,32.3
207,yjcO,0.086
208,aroD,80.8
209,glgB,97.2
210,ykfB,0.094
211,yfbV,3.43
212,rsfS,228.0
213,hslV,145.0
214,obgE,313.0
215,proP,40.8
216,ves,0.19
217,xanP,0.217
218,glgX,13.3
219,folD,102.0
220,htpG,465.0
221,yeaC,48.2
222,hslO,423.0
223,ybeZ,366.0
224,dld,288.0
225,rppH,81.9
226,ycdY,222.0
227,yecJ,128.0
228,metI,19.2
229,pssA,484.0
230,cyaA,9.46
231,argS,168.0
232,ghrB,341.0
233,guaC,329.0
234,proA,378.0
235,murC,49.0
236,mqo,2.35
237,hisA,62.4
238,folX,172.0
239,tomB,0.585
240,lspA,1.18
241,fumA,342.0
242,ymdA,0.0
243,fes,19.2
244,purM,231.0
245,yibN,281.0
246,bamA,192.0
247,rseA,9.51
248,rcsB,1271.0
249,ndk,2425.0
250,ilvL,0.0
251,clpX,346.0
252,fliH,1.16
253,galU,399.0
254,nfsB,687.0
255,ridA,4367.0
256,plaP,0.215
257,map,517.0
258,fabD,864.0
259,argE,135.0
260,ispG,276.0
261,prs,1183.0
262,can,534.0
263,argH,141.0
264,rmf,683.0
265,lpxD,346.0
266,nfuA,1240.0
267,efp,575.0
268,ftsZ,892.0
269,sucB,829.0
270,thrL,0.0
271,aceE,3137.0
272,tig,3311.0
273,aspC,1751.0
274,icd,2962.0
275,glnA,775.0
276,atpF,851.0
277,rplK,1919.0
278,rpsR,2997.0
279,secY,90.7
280,rpsQ,839.0
