,gene_id,logtpm,transcript_id,protein_id,internal_id,external_id,abundance
0,ENST00000262525,2.8195829472398426,ENST00000262525,ENSP00000262525,4435101,9606.ENSP00000262525,0.476
1,ENST00000261637,2.763997704722579,ENST00000261637,ENSP00000261637,4434917,9606.ENSP00000261637,4.61
2,ENST00000301215,2.348607987946377,ENST00000301215,ENSP00000301215,4437733,9606.ENSP00000301215,0.143
3,ENST00000342683,2.7610112983256845,ENST00000342683,ENSP00000342254,4441240,9606.ENSP00000342254,0.552
4,ENST00000374266,2.260611385063136,ENST00000374266,ENSP00000363384,4444352,9606.ENSP00000363384,10.3
5,ENST00000300101,2.372519880182581,ENST00000300101,ENSP00000300101,4437634,9606.ENSP00000300101,0.349
6,ENST00000389749,2.715748706088484,ENST00000389749,ENSP00000374399,4445882,9606.ENSP00000374399,9.84
7,ENST00000595962,2.9964979041847504,ENST00000595962,ENSP00000471754,4451010,9606.ENSP00000471754,0.269
8,ENST00000367866,2.3183169902069287,ENST00000367866,ENSP00000356840,4442973,9606.ENSP00000356840,18.9
9,ENST00000322434,3.864739377177433,ENST00000322434,ENSP00000327143,4439900,9606.ENSP00000327143,0.086
10,ENST00000382448,3.052751459423423,ENST00000382448,ENSP00000371886,4445691,9606.ENSP00000371886,0.187
11,ENST00000286760,3.511085606424219,ENST00000286760,ENSP00000286760,4436696,9606.ENSP00000286760,0.357
12,ENST00000261249,3.3331094070142866,ENST00000261249,ENSP00000261249,4434843,9606.ENSP00000261249,2.11
13,ENST00000331426,3.27094528573422,ENST00000331426,ENSP00000331211,4440239,9606.ENSP00000331211,0.063
14,ENST00000392432,3.435305015972773,ENST00000392432,ENSP00000376227,4446019,9606.ENSP00000376227,0.634
15,ENST00000369604,3.615222454273322,ENST00000369604,ENSP00000358617,4443357,9606.ENSP00000358617,0.032
16,ENST00000419445,3.905917897697026,ENST00000419445,ENSP00000404676,4448331,9606.ENSP00000404676,1.55
17,ENST00000335968,3.692990118929296,ENST00000335968,ENSP00000338093,4440845,9606.ENSP00000338093,3.66
18,ENST00000610704,3.7047769378911233,ENST00000610704,ENSP00000477841,4451245,9606.ENSP00000477841,0.093
19,ENST00000524189,3.9792636570291418,ENST00000524189,ENSP00000427900,4449423,9606.ENSP00000427900,5.35
20,ENST00000375255,3.726769514467749,ENST00000375255,ENSP00000364404,4444529,9606.ENSP00000364404,0.231
21,ENST00000361840,3.468688375395954,ENST00000361840,ENSP00000354774,4442538,9606.ENSP00000354774,4.25
22,ENST00000357749,3.920382150428543,ENST00000357749,ENSP00000350386,4442045,9606.ENSP00000350386,1.38
23,ENST00000220592,3.2929828927830584,ENST00000220592,ENSP00000220592,4433122,9606.ENSP00000220592,8.98
24,ENST00000282570,3.96281773661265,ENST00000282570,ENSP00000282570,4436501,9606.ENSP00000282570,0.018
25,ENST00000251157,3.7663296137968207,ENST00000251157,ENSP00000251157,4434156,9606.ENSP00000251157,5.5
26,ENST00000357360,3.759277810297856,ENST00000357360,ENSP00000349923,4441983,9606.ENSP00000349923,27.8
27,ENST00000538010,3.333703694411281,ENST00000538010,ENSP00000445868,4450176,9606.ENSP00000445868,3.38
28,ENST00000354366,3.521438209619673,ENST00000354366,ENSP00000346335,4441612,9606.ENSP00000346335,1.26
29,ENST00000262320,3.859850745463876,ENST00000262320,ENSP00000262320,4435059,9606.ENSP00000262320,0.653
30,ENST00000434248,3.3294477315901623,ENST00000434248,ENSP00000391641,4447705,9606.ENSP00000391641,0.161
31,ENST00000244571,3.1870706819711527,ENST00000244571,ENSP00000244571,4433903,9606.ENSP00000244571,7.22
32,ENST00000367696,3.132495135094054,ENST00000367696,ENSP00000356669,4442940,9606.ENSP00000356669,0.9
33,ENST00000357702,3.9880188694594207,ENST00000357702,ENSP00000350333,4442035,9606.ENSP00000350333,3.47
34,ENST00000184956,3.5750725562036543,ENST00000184956,ENSP00000184956,4432742,9606.ENSP00000184956,2.15
35,ENST00000307750,3.612103149123791,ENST00000307750,ENSP00000307604,4438337,9606.ENSP00000307604,0.245
36,ENST00000255613,3.1027010032433804,ENST00000255613,ENSP00000255613,4434439,9606.ENSP00000255613,0.212
37,ENST00000359933,3.929979109144182,ENST00000359933,ENSP00000353010,4442310,9606.ENSP00000353010,0.355
38,ENST00000375153,3.6195328974692367,ENST00000375153,ENSP00000364295,4444516,9606.ENSP00000364295,0.276
39,ENST00000269499,3.977434002094818,ENST00000269499,ENSP00000269499,4435895,9606.ENSP00000269499,0.24
40,ENST00000543872,3.710705261305228,ENST00000543872,ENSP00000438748,4449879,9606.ENSP00000438748,4.68
41,ENST00000426836,3.880033044167946,ENST00000426836,ENSP00000389810,4447628,9606.ENSP00000389810,7.44
42,ENST00000325752,3.5080114229434742,ENST00000325752,ENSP00000320797,4439390,9606.ENSP00000320797,0.506
43,ENST00000317178,3.720474537234313,ENST00000317178,ENSP00000321812,4439477,9606.ENSP00000321812,0.184
44,ENST00000369393,3.385064937321953,ENST00000369393,ENSP00000358400,4443307,9606.ENSP00000358400,4.78
45,ENST00000354586,3.7862963132449567,ENST00000354586,ENSP00000346599,4441638,9606.ENSP00000346599,0.638
46,ENST00000315212,3.865745397162243,ENST00000315212,ENSP00000313350,4438853,9606.ENSP00000313350,0.765
47,ENST00000334344,3.814984840903757,ENST00000334344,ENSP00000335044,4440632,9606.ENSP00000335044,2.99
48,ENST00000400485,4.991537453094677,ENST00000400485,ENSP00000383333,4447010,9606.ENSP00000383333,2.54
49,ENST00000417564,4.880753174220684,ENST00000417564,ENSP00000392066,4447726,9606.ENSP00000392066,1.21
50,ENST00000533683,4.597211189100079,ENST00000533683,ENSP00000431971,4449612,9606.ENSP00000431971,1.13
51,ENST00000008527,4.5256461527746525,ENST00000008527,ENSP00000008527,4432579,9606.ENSP00000008527,0.462
52,ENST00000371442,4.196938736745863,ENST00000371442,ENSP00000360497,4443747,9606.ENSP00000360497,6.03
53,ENST00000258774,4.364883427336108,ENST00000258774,ENSP00000258774,4434654,9606.ENSP00000258774,2.96
54,ENST00000369682,4.357908660057375,ENST00000369682,ENSP00000358696,4443363,9606.ENSP00000358696,0.471
55,ENST00000253023,4.110146588445888,ENST00000253023,ENSP00000253023,4434272,9606.ENSP00000253023,48.4
56,ENST00000248114,4.832771575304165,ENST00000248114,ENSP00000248114,4434047,9606.ENSP00000248114,6.41
57,ENST00000241436,4.466554127566323,ENST00000241436,ENSP00000241436,4433800,9606.ENSP00000241436,0.53
58,ENST00000033079,4.81602916604979,ENST00000033079,ENSP00000033079,4432613,9606.ENSP00000033079,0.59
59,ENST00000273598,4.460347796862285,ENST00000273598,ENSP00000273598,4436087,9606.ENSP00000273598,0.0
60,ENST00000306467,4.087938410010927,ENST00000306467,ENSP00000303058,4437924,9606.ENSP00000303058,0.539
61,ENST00000156471,4.320001072601536,ENST00000156471,ENSP00000156471,4432668,9606.ENSP00000156471,8.02
62,ENST00000320095,4.555123447995157,ENST00000320095,ENSP00000315731,4439020,9606.ENSP00000315731,0.452
63,ENST00000538197,4.039064771097901,ENST00000538197,ENSP00000443985,4450097,9606.ENSP00000443985,0.836
64,ENST00000367879,4.654678664951359,ENST00000367879,ENSP00000356853,4442978,9606.ENSP00000356853,22.8
65,ENST00000591680,4.769107078682371,ENST00000591680,ENSP00000467556,4450852,9606.ENSP00000467556,3.21
66,ENST00000266735,4.455878508731336,ENST00000266735,ENSP00000266735,4435728,9606.ENSP00000266735,305.0
67,ENST00000321895,4.216672799703695,ENST00000321895,ENSP00000319006,4439250,9606.ENSP00000319006,0.671
68,ENST00000314393,4.37520435006255,ENST00000314393,ENSP00000314709,4438948,9606.ENSP00000314709,1.08
69,ENST00000263256,4.686141109326491,ENST00000263256,ENSP00000263256,4435225,9606.ENSP00000263256,8.29
70,ENST00000334636,4.144930900883261,ENST00000334636,ENSP00000334592,4440580,9606.ENSP00000334592,0.028
71,ENST00000332707,4.71532174995266,ENST00000332707,ENSP00000327821,4439956,9606.ENSP00000327821,25.8
