gene_id,gene_name,tpm
AT1G01010,NAC001,3
AT1G01020,ARV1,9
AT1G01030,NGA3,0.4
AT1G01040,DCL1,7
AT1G01046,MIR838A,3
AT1G01050,PPA1,31
AT1G01060,LHY,1
AT1G01070,AT1G01070,7
AT1G01080,AT1G01080,6
AT1G01090,PDH-E1 ALPHA,122
AT1G01100,RPP1A,250
AT1G01110,IQD18,0.4
AT1G01120,KCS1,38
AT1G01130,AT1G01130,7
AT1G01140,CIPK9,26
AT1G01150,AT1G01150,0.2
AT1G01160,GIF2,43
AT1G01170,AT1G01170,120
AT1G01180,AT1G01180,5
AT1G01183,MIR165A,0.4
AT1G01190,CYP78A8,0.1
AT1G01200,RABA3,0.1
AT1G01210,AT1G01210,11
AT1G01220,FKGP,4
AT1G01225,AT1G01225,14
AT1G01230,AT1G01230,50
AT1G01240,AT1G01240,83
AT1G01250,ERF023,54
AT1G01260,BHLH13,15
AT1G01290,CNX3,10
AT1G01300,APF2,38
AT1G01305,AT1G01305,4
AT1G01310,AT1G01310,0.4
AT1G01320,AT1G01320,18
AT1G01340,CNGC10,0.5
AT1G01350,AT1G01350,27
AT1G01355,AT1G01355,2
AT1G01360,PYL9,23
AT1G01370,HTR12,0.5
AT1G01380,ETC1,0.5
AT1G01390,AT1G01390,0.2
AT1G01420,UGT72B3,1
AT1G01430,TBL25,13
AT1G01440,AT1G01440,8
AT1G01448,AT1G01448,4
AT1G01450,AT1G01450,
AT1G01453,AT1G01453,0.3
AT1G01460,PIP5K10,
AT1G01470,LEA14,116
AT1G01480,ACS2,65
AT1G01490,AT1G01490,61
AT1G01500,AT1G01500,18
AT1G01510,AN,11
AT1G01520,AT1G01520,0.3
AT1G01530,AGL28,
AT1G01540,AT1G01540,30
AT1G01550,BPS1,146
AT1G01560,MPK11,6
AT1G01570,AT1G01570,0.9
AT1G01580,FRO2,1
AT1G01590,FRO1,0.4
AT1G01600,CYP86A4,1
AT1G01610,GPAT4,13
AT1G01620,PIP1-3,109
AT1G01630,AT1G01630,10
AT1G01640,AT1G01640,6
AT1G01650,SPPL4,25
AT1G01660,AT1G01660,0.7
AT1G01670,PUB56,1
AT1G01680,PUB54,0.5
AT1G01690,ATPRD3,1
AT1G01695,AT1G01695,0.1
AT1G01700,ATROPGEF2,0.7
AT1G01710,AT1G01710,33
AT1G01715,AT1G01715,7
AT1G01720,NAC002,151
AT1G01725,AT1G01725,47
AT1G01730,AT1G01730,24
AT1G01740,BSK4,3
AT1G01750,ADF11,0.3
AT1G01760,AT1G01760,2
AT1G01770,AT1G01770,22
AT1G01780,PLIM2B,17
AT1G01790,KEA1,4
AT1G01800,AT1G01800,37
AT1G01810,AT1G01810,2
AT1G01820,PEX11C,67
AT1G01830,AT1G01830,6
AT1G01840,AT1G01840,0.3
AT1G01860,PFC1,5
AT1G01880,GEN1,1
AT1G01900,SBTI1.1,8
AT1G01910,AT1G01910,40
AT1G01920,AT1G01920,7
AT1G01930,AT1G01930,10
AT1G01940,CYP18-1,10
AT1G01950,ARK2,7
AT1G01960,BIG3,13
AT1G01970,AT1G01970,14
AT1G01980,SEC1A,0.1
AT1G01990,AT1G01990,27
AT1G02000,GAE2,18
AT1G02010,SEC1A,2
AT1G02020,AT1G02020,7
AT1G02030,ZAT1,0.2
AT1G02040,AT1G02040,0.2
AT1G02050,PKSA,7
AT1G02060,AT1G02060,4
AT1G02065,SPL8,0.1
AT1G02070,AT1G02070,1
