gene,expression
aaeA,3.36E-06
aaeB,2.50E-06
aaeR,3.58E-05
aaeX,1.20E-05
aas,3.09E-05
aat,5.13E-05
abgA,9.52E-07
abgB,2.28E-06
abgR,7.35E-06
abgT,2.44E-06
abpA,3.14E-05
abpB,2.31E-05
abrB,1.26E-05
accA,3.50E-04
accB,5.09E-04
accC,5.94E-04
accD,4.84E-04
aceA,6.89E-05
aceB,2.67E-05
aceE,1.08E-03
aceF,6.62E-04
aceK,1.11E-05
ackA,3.06E-04
acnA,3.68E-05
acnB,1.09E-03
acpH,1.87E-05
acpP,8.45E-03
acpS,8.33E-05
acpT,1.53E-05
acrA,1.76E-04
acrB,2.25E-04
acrD,1.01E-05
acrE,7.49E-07
acrF,1.70E-06
acrR,2.49E-05
acrZ,4.98E-05
acs,5.44E-05
actP,1.16E-05
ada,1.02E-05
add,3.09E-05
adeD,1.01E-05
adeP,1.53E-04
adeQ,3.80E-07
adhE,9.43E-04
adhP,9.94E-06
adiA,2.47E-06
adiC,8.38E-07
adiY,1.22E-06
adk,2.48E-04
aegA,2.88E-06
aer,5.90E-05
aes,5.99E-06
afuB,1.52E-06
afuC,2.73E-06
agaA,3.23E-06
agaB,3.10E-07
agaC,4.74E-07
agaD,6.94E-07
agaI,6.99E-07
agaR,5.23E-05
agaS,1.61E-06
agaV,2.50E-06
agaW,1.89E-06
agp,1.79E-05
ahpC,2.49E-03
ahpF,1.54E-04
ahr,5.66E-06
aidB,1.67E-06
ais,1.51E-06
alaA,1.10E-04
alaC,3.47E-05
alaE,4.44E-05
alaS,7.99E-04
aldA,2.28E-04
aldB,7.56E-07
alkA,7.05E-06
alkB,2.86E-06
allA,2.23E-06
allB,1.80E-06
allC,2.79E-06
allD,3.83E-07
allE,1.09E-05
allR,1.15E-04
allS,5.02E-07
alpA,1.89E-06
alr,1.21E-04
alsA,1.02E-06
alsB,4.41E-06
alsC,3.62E-06
alsE,3.74E-06
alsK,5.05E-06
alx,2.51E-05
amiA,4.44E-05
amiB,4.16E-05
amiC,6.43E-05
amiD,4.26E-05
amn,7.62E-05
ampC,6.55E-06
ampD,2.62E-05
ampE,3.77E-05
ampG,4.60E-05
ampH,3.67E-05
amtB,2.72E-05
amyA,6.32E-05
anmK,3.00E-05
ansA,6.19E-05
ansB,4.20E-06
ansP,1.27E-05
apaG,1.39E-04
apaH,5.21E-05
aphA,8.89E-06
appA,5.57E-06
appB,2.83E-06
appC,1.77E-06
appX,1.07E-05
appY,1.80E-06
apt,1.98E-04
aqpZ,5.59E-06
araA,2.65E-06
araB,8.08E-07
araC,1.59E-05
araD,1.95E-06
araE,6.05E-06
araF,4.32E-06
araG,4.37E-06
araH,5.73E-06
araJ,1.16E-05
arcA,4.57E-04
arcB,5.72E-05
arfA,1.90E-05
arfB,3.09E-05
argA,3.50E-04
argB,3.50E-04
argC,3.56E-04
argD,2.92E-04
argE,3.56E-04
argF,0.00E+00
argG,1.16E-03
argH,5.39E-04
argI,1.26E-04
argK,1.74E-06
argO,6.52E-06
argP,8.50E-05
argR,2.29E-04
argS,1.48E-04
argT,1.44E-04
ariR,3.17E-07
arnA,4.45E-06
arnB,1.97E-06
arnC,2.97E-06
arnD,3.77E-06
arnE,3.84E-06
arnF,1.24E-05
arnT,2.02E-06
aroA,4.07E-04
aroB,2.58E-04
aroC,2.38E-04
aroD,7.21E-05
aroE,6.10E-05
aroF,8.92E-04
aroG,1.12E-03
aroH,1.06E-04
aroK,3.38E-04
aroL,1.93E-04
aroM,3.04E-05
aroP,5.61E-04
arpA,3.77E-07
arpB_1,3.12E-07
arpB_2,1.34E-07
arsB,2.41E-06
arsC,8.74E-06
arsR,5.56E-06
artI,2.02E-04
artJ,1.07E-03
artM,1.22E-04
artP,8.24E-05
artQ,7.17E-05
ascB,5.51E-06
ascF,3.21E-06
ascG,5.27E-06
asd,8.37E-04
aslA,2.71E-06
aslB,1.59E-06
asmA,5.79E-05
asnA,4.71E-04
asnB,2.84E-04
asnC,1.75E-05
asnS,5.42E-04
aspA,1.04E-04
aspC,1.03E-03
aspS,2.70E-04
asr,9.10E-06
astA,1.57E-06
astB,2.55E-06
astC,2.04E-06
astD,2.47E-06
astE,2.25E-06
atl,2.28E-05
atoA,2.60E-07
atoB,8.39E-07
atoC,4.43E-06
atoD,9.57E-07
atoE,5.92E-07
atoS,3.70E-06
atpA,2.16E-03
atpB,7.05E-04
atpC,2.28E-03
atpD,1.84E-03
atpE,3.17E-03
atpF,2.12E-03
atpG,1.92E-03
atpH,1.64E-03
atpI,2.23E-04
avtA,1.58E-04
azoR,9.68E-05
azuC,1.12E-05
bacA,5.63E-05
baeR,3.66E-05
baeS,8.47E-06
bamA,4.86E-04
bamB,2.69E-04
bamC,4.14E-04
bamD,3.73E-04
bamE,2.56E-04
barA,2.32E-05
basR,2.50E-05
basS,1.49E-05
bax,5.15E-05
bcp,3.90E-04
bcr,3.18E-05
bcsA,1.18E-05
bcsB,2.47E-05
bcsC,2.47E-05
bcsE,3.64E-05
bcsF,1.49E-05
bcsG,2.47E-05
bcsQ,1.15E-05
bcsZ,1.39E-05
bdcA,4.71E-06
bdcR,2.36E-05
bdm,4.11E-06
bepA,4.09E-05
betA,2.85E-05
betB,3.53E-05
betI,3.04E-05
betT,1.32E-05
bfd,2.40E-04
bfr,8.43E-05
bglA,8.86E-05
bglB,1.14E-06
bglF,6.21E-06
bglG,5.05E-08
bglH,4.71E-07
bglJ,4.68E-05
bglX,6.48E-05
bhsA,1.46E-05
bioA,4.00E-05
bioB,1.14E-04
bioC,6.44E-05
bioD,5.65E-05
bioF,7.96E-05
bioH,2.28E-05
bipA,1.16E-03
birA,4.45E-05
bisC,3.92E-05
blc,5.47E-06
blr,1.21E-05
bluF,2.59E-05
bluR,6.96E-05
bolA,1.09E-04
borD,1.83E-03
brnQ,6.35E-05
bsmA,1.08E-05
bssR,4.18E-05
bssS,9.38E-05
btuB,1.61E-04
btuC,1.54E-05
btuD,2.80E-05
btuE,4.89E-05
btuF,2.75E-05
btuR,6.87E-05
cadA,1.03E-06
cadB,2.22E-07
cadC,3.56E-06
caiA,4.61E-06
caiB,2.38E-06
caiC,3.69E-06
caiD,7.54E-07
caiE,2.97E-06
caiF,1.53E-05
caiT,3.63E-07
can,6.88E-04
carA,4.57E-04
carB,5.73E-04
cas1,6.31E-06
cas2,7.72E-06
cas3,1.69E-06
casA,7.01E-07
casB,2.15E-06
casC,3.22E-06
casD,3.70E-06
casE,5.85E-06
cbeA,2.69E-06
cbl,5.20E-05
cbpA,1.65E-05
cbpM,1.89E-05
cbrA,3.50E-06
cbrB,1.48E-05
cbrC,1.58E-05
cbtA,3.16E-06
cca,7.00E-05
ccmA,1.19E-05
ccmB,3.67E-06
ccmC,6.99E-06
ccmD,6.65E-06
ccmE,9.30E-06
ccmF,9.38E-06
ccmG,1.53E-05
ccmH,2.03E-05
cdaR,7.56E-06
cdd,2.92E-05
cdgI,3.30E-07
cdh,2.15E-05
cdsA,9.53E-05
cedA,7.66E-06
cfa,8.26E-05
chaA,6.56E-05
chaB,6.50E-06
chaC,1.71E-05
chbA,9.04E-06
chbB,1.77E-05
chbC,2.60E-06
chbF,2.00E-06
chbG,1.08E-05
chbR,5.44E-06
cheA,6.09E-04
cheB,2.22E-04
cheR,2.69E-04
cheW,1.29E-03
cheY,1.03E-03
cheZ,8.62E-04
chiA,5.44E-06
chiP,5.35E-06
cho,2.01E-05
chpB,1.37E-05
chpS,7.97E-06
cirA,4.97E-04
citC,6.79E-07
citD,5.70E-07
citE,6.75E-07
citF,4.28E-07
citG,4.81E-07
citT,1.10E-06
citX,1.42E-06
clcA,1.47E-05
clcB,2.46E-06
clpA,2.07E-04
clpB,8.80E-05
clpP,3.42E-04
clpS,8.98E-05
clpX,3.88E-04
clsA,3.15E-05
clsB,1.48E-06
clsC,1.51E-05
cmk,1.91E-04
cmoA,3.11E-05
cmoB,5.12E-05
cmoM,4.52E-05
cmtA,4.11E-07
cmtB,2.38E-07
cnu,1.07E-05
coaA,6.57E-05
coaD,6.93E-05
coaE,2.84E-05
cobB,7.84E-05
cobC,2.55E-05
cobS,6.65E-06
cobT,1.37E-05
cobU,1.89E-05
codA,1.11E-04
codB,2.74E-05
cof,1.57E-05
comR,1.15E-04
copA,6.51E-04
corA,4.39E-05
cpdA,1.45E-04
cpdB,2.14E-05
cpoB,7.60E-04
cpsB,0.00E+00
cpsG,0.00E+00
cptA,9.39E-05
cpxA,1.11E-04
cpxP,3.05E-04
cpxR,1.98E-04
cra,7.48E-05
crcB,3.73E-05
creA,5.52E-05
creB,4.00E-05
creC,1.21E-05
creD,4.22E-06
crfC,4.51E-05
crl,2.32E-04
crp,7.29E-04
crr,2.18E-03
csdA,5.49E-05
csdE,8.47E-05
csgA,7.98E-06
csgB,8.35E-07
csgC,7.37E-06
csgD,6.17E-07
csgE,3.80E-07
csgF,0.00E+00
csgG,2.11E-06
csiD,3.98E-06
csiE,2.99E-06
csiR,1.03E-05
cspA,1.71E-02
cspB,9.37E-05
cspC,3.13E-03
cspD,1.37E-04
cspE,1.46E-02
cspF,8.24E-06
cspG,4.66E-05
cspH,9.93E-07
cspI,4.97E-06
csrA,2.31E-03
csrD,1.47E-05
cstA,9.02E-05
cueO,2.17E-04
cueR,3.86E-05
curA,4.08E-06
cusA,3.96E-04
cusB,1.20E-03
cusC,1.01E-03
cusF,3.10E-03
cusR,1.61E-04
cusS,1.16E-04
cutA,1.68E-05
cutC,4.90E-05
cvpA,4.39E-04
cvrA,4.20E-05
cyaA,1.81E-04
cyaY,4.94E-05
cybB,1.34E-04
cycA,1.18E-04
cydA,2.83E-04
cydB,1.64E-04
cydC,7.18E-05
cydD,4.01E-05
cydX,2.06E-04
cynR,1.23E-05
cynS,4.09E-06
cynT,2.85E-06
cynX,2.67E-06
cyoA,7.87E-04
cyoB,6.59E-04
cyoC,4.96E-04
cyoD,5.43E-04
cyoE,4.51E-04
cysA,5.85E-04
cysB,1.42E-04
cysC,1.62E-04
cysD,6.19E-04
cysE,1.35E-04
cysG,3.28E-05
cysH,6.46E-04
cysI,7.06E-04
cysJ,5.70E-04
cysK,2.23E-03
cysM,3.08E-04
cysN,5.81E-04
cysP,6.42E-04
cysQ,4.85E-05
cysS,1.15E-04
cysU,2.28E-04
cysW,2.57E-04
cysZ,2.03E-05
cytR,6.32E-05
dacA,1.30E-04
dacB,3.68E-05
dacC,6.11E-05
dacD,3.77E-06
dadA,7.75E-05
dadX,5.13E-05
dam,1.05E-04
damX,4.21E-04
dapA,5.36E-04
dapB,4.37E-04
dapD,2.33E-03
dapE,8.12E-05
dapF,8.42E-05
dauA,1.93E-05
dbpA,2.70E-05
dcd,1.56E-04
dcm,3.72E-05
dcp,7.46E-05
dcrB,2.27E-04
dctA,2.32E-05
dctR,1.20E-07
dcuA,1.24E-04
dcuB,7.57E-07
dcuC,3.39E-06
dcuD,2.94E-06
dcuR,2.13E-05
dcuS,2.49E-05
dcyD,1.36E-04
ddlA,5.59E-05
ddlB,1.92E-04
ddpA,5.93E-06
ddpB,2.34E-06
ddpC,3.91E-06
ddpD,4.05E-06
ddpF,3.88E-06
ddpX,5.02E-06
deaD,4.68E-04
dedA,5.28E-05
dedD,6.77E-05
def,3.42E-04
degP,1.41E-04
degQ,3.05E-05
degS,3.03E-05
deoA,1.77E-05
deoB,1.14E-04
deoC,4.51E-05
deoD,3.09E-04
deoR,4.53E-05
der,1.71E-04
dfp,5.93E-05
dgcC,2.60E-06
dgcE,1.84E-05
dgcF,8.32E-06
dgcI,9.84E-06
dgcJ,3.50E-06
dgcM,5.97E-06
dgcN,9.52E-06
dgcP,5.59E-05
dgcQ,8.02E-06
dgcT,2.09E-06
dgcZ,6.48E-06
dgkA,4.10E-05
