,ensg_id,description,category,logtpm_mean,logtpm_std,stratified_level
2,ENSG00000000419,"dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit",Expressed in all tissues,6.074593875949946,0.4372004528654765,6
3,ENSG00000000457,SCY1-like 3 (S. cerevisiae),Expressed in all tissues,3.7448521390981715,0.6467116353488728,3
7,ENSG00000001036,"fucosidase, alpha-L- 2, plasma",Expressed in all tissues,5.475899965169933,0.8948580921733577,5
8,ENSG00000001084,"glutamate-cysteine ligase, catalytic subunit",Expressed in all tissues,5.2967671692275635,0.9321923418135543,5
12,ENSG00000001497,LAS1-like (S. cerevisiae),Expressed in all tissues,4.93144410371851,0.6306107671946934,4
13,ENSG00000001561,ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative),Expressed in all tissues,4.167160228955817,0.9633970825871134,4
16,ENSG00000001629,ankyrin repeat and IBR domain containing 1,Expressed in all tissues,4.713995965134665,0.7030508772451398,4
18,ENSG00000001631,"KRIT1, ankyrin repeat containing",Expressed in all tissues,5.263409480983825,0.6373224068808591,5
19,ENSG00000002016,RAD52 homolog (S. cerevisiae),Expressed in all tissues,3.8560406433300254,0.6986899333016751,3
20,ENSG00000002330,BCL2-associated agonist of cell death,Expressed in all tissues,5.315949304310182,0.5641358021120985,5
21,ENSG00000002549,leucine aminopeptidase 3,Expressed in all tissues,6.736513583379847,0.7882936049088256,6
22,ENSG00000002586,CD99 molecule,Expressed in all tissues,7.81470199086032,0.7120590977532318,7
27,ENSG00000002822,MAD1 mitotic arrest deficient-like 1 (yeast),Expressed in all tissues,4.269593194157293,0.7696299655594913,4
28,ENSG00000002834,LIM and SH3 protein 1,Expressed in all tissues,6.440842599912358,0.9239173723800131,6
29,ENSG00000002919,sorting nexin 11,Expressed in all tissues,4.510718445705553,0.695702884709131,4
31,ENSG00000003056,mannose-6-phosphate receptor (cation dependent),Expressed in all tissues,6.900314398391372,0.6748074224750719,6
36,ENSG00000003393,amyotrophic lateral sclerosis 2 (juvenile),Expressed in all tissues,3.8503056507013067,0.6461169686835935,3
38,ENSG00000003402,CASP8 and FADD-like apoptosis regulator,Expressed in all tissues,6.653087685217524,0.7737217725186809,6
40,ENSG00000003509,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 7",Expressed in all tissues,4.317279718647491,0.7896424175801691,4
41,ENSG00000003756,RNA binding motif protein 5,Expressed in all tissues,7.364083383701613,0.7048644587434589,7
44,ENSG00000004059,ADP-ribosylation factor 5,Expressed in all tissues,7.342198882374774,0.39868314710876207,7
48,ENSG00000004455,adenylate kinase 2,Expressed in all tissues,6.979769365735723,0.5718793939976774,6
50,ENSG00000004478,"FK506 binding protein 4, 59kDa",Expressed in all tissues,6.300246131090546,0.6207483222296863,6
51,ENSG00000004487,lysine (K)-specific demethylase 1A,Expressed in all tissues,5.677942005001264,0.6878699163496198,5
52,ENSG00000004534,RNA binding motif protein 6,Expressed in all tissues,6.953584905419126,0.7194886345510441,6
54,ENSG00000004700,RecQ protein-like (DNA helicase Q1-like),Expressed in all tissues,5.212566930853568,0.8939769784288858,5
