target_id	length	eff_length	est_counts	tpm
lcl|CP014584.1_rrna_1	6510	6252.68	0	0
lcl|CP014584.1_mrna_2	4576	4318.68	7.94666	0.0296203
lcl|CP014584.1_mrna_3	375	122.523	0	0
lcl|CP014584.1_mrna_4	1542	1284.68	498.316	6.24406
lcl|CP014584.1_mrna_5	4014	3756.68	127.707	0.547224
lcl|CP014584.1_mrna_6	1308	1050.68	1210	18.5384
lcl|CP014584.1_mrna_7	5399	5141.68	2735.1	8.56296
lcl|CP014584.1_mrna_8	1062	804.677	1036	20.725
lcl|CP014584.1_mrna_9	7889	7631.68	103	0.217257
lcl|CP014584.1_mrna_10	1813	1555.68	309	3.19739
lcl|CP014584.1_mrna_11	1809	1551.68	92	0.954427
lcl|CP014584.1_mrna_12	1824	1566.68	79	0.811715
lcl|CP014584.1_mrna_13	960	702.677	1435	32.874
lcl|CP014584.1_mrna_14	1809	1551.68	2203	22.8544
lcl|CP014584.1_mrna_15	1904	1646.68	350	3.42149
lcl|CP014584.1_mrna_16	2580	2322.68	1000	6.93054
lcl|CP014584.1_mrna_17	1321	1063.68	870	13.1664
lcl|CP014584.1_mrna_18	1977	1719.68	1560	14.6027
lcl|CP014584.1_mrna_19	1626	1368.68	831	9.77364
lcl|CP014584.1_mrna_20	1969	1711.68	136	1.27901
lcl|CP014584.1_mrna_21	2225	1967.68	9975	81.6047
lcl|CP014584.1_rrna_22	117	25.1609	16.4618	10.532
lcl|CP014584.1_mrna_23	4705	4447.68	1352.27	4.89425
lcl|CP014584.1_mrna_24	2100	1842.68	1914.81	16.7276
lcl|CP014584.1_mrna_25	1179	921.677	1701.19	29.7118
lcl|CP014584.1_mrna_26	1461	1203.68	12582	168.266
lcl|CP014584.1_mrna_27	984	726.677	4633	102.631
lcl|CP014584.1_mrna_28	1128	870.677	19197.2	354.926
lcl|CP014584.1_mrna_29	1348	1090.68	17965.8	265.159
lcl|CP014584.1_trna_30	72	26.8895	0	0
lcl|CP014584.1_mrna_31	1167	909.677	138	2.44201
lcl|CP014584.1_mrna_32	4061	3803.68	1627	6.88557
lcl|CP014584.1_mrna_33	1556	1298.68	2284	28.3107
lcl|CP014584.1_mrna_34	786	528.702	1497	45.5792
lcl|CP014584.1_mrna_35	1383	1125.68	1092	15.6158
lcl|CP014584.1_mrna_36	9927	9669.68	6082	10.1249
lcl|CP014584.1_mrna_37	1725	1467.68	890	9.76148
lcl|CP014584.1_mrna_38	2178	1920.68	707	5.92545
lcl|CP014584.1_mrna_39	2454	2196.68	5147	37.7176
lcl|CP014584.1_mrna_40	1148	890.677	2006	36.2549
lcl|CP014584.1_mrna_41	1325	1067.68	2242.17	33.8052
lcl|CP014584.1_mrna_42	1154	896.677	1717.83	30.8391
lcl|CP014584.1_mrna_43	1065	807.677	2330	46.4381
lcl|CP014584.1_mrna_44	945	687.677	10259	240.147
lcl|CP014584.1_mrna_45	692	434.737	84712.4	3136.73
lcl|CP014584.1_mrna_46	1510	1252.68	1094.59	14.0659
lcl|CP014584.1_mrna_47	779	521.702	1372	42.3338
lcl|CP014584.1_mrna_48	1470	1212.68	7373	97.8713
lcl|CP014584.1_mrna_49	2403	2145.68	3816	28.6286
lcl|CP014584.1_mrna_50	872	614.688	11913	311.977
lcl|CP014584.1_mrna_51	963	705.677	6182	141.019
lcl|CP014584.1_mrna_52	1707	1449.68	1220	13.547
lcl|CP014584.1_mrna_53	1536	1278.68	166	2.08979
lcl|CP014584.1_mrna_54	5085	4827.68	8255	27.5255
lcl|CP014584.1_mrna_55	783	525.702	879	26.9157
lcl|CP014584.1_mrna_56	819	561.697	19728	565.375
lcl|CP014584.1_mrna_57	354	104.442	1713	264.022
lcl|CP014584.1_mrna_58	1805	1547.68	4310	44.8284
lcl|CP014584.1_mrna_59	2045	1787.68	10518	94.711
lcl|CP014584.1_mrna_60	2341	2083.68	1024	7.9109
lcl|CP014584.1_mrna_61	1244	986.677	2854	46.5624
lcl|CP014584.1_mrna_62	1752	1494.68	679	7.31271
lcl|CP014584.1_mrna_63	1842	1584.68	2600	26.4112
lcl|CP014584.1_mrna_64	2360	2102.68	4252	32.5519
lcl|CP014584.1_mrna_65	1173	915.677	1772.33	31.1572
lcl|CP014584.1_mrna_66	1999	1741.68	1414.67	13.0751
lcl|CP014584.1_mrna_67	1505	1247.68	2305	29.7389
lcl|CP014584.1_trna_68	73	27.6094	0	0
lcl|CP014584.1_mrna_69	2459	2201.68	2195	16.0486
lcl|CP014584.1_mrna_70	1239	981.677	7779	127.559
lcl|CP014584.1_mrna_71	912	654.677	13707	337.032
lcl|CP014584.1_mrna_72	945	687.677	4988	116.761
lcl|CP014584.1_mrna_73	5761	5503.68	6562	19.1928
lcl|CP014584.1_mrna_74	1371	1113.68	169315	2447.33
