gene_id,gene_name,tpm
ETS1-1,ETS1-1,69
ETS1-2,ETS1-2,3
ETS2-1,ETS2-1,5
HRA1,HRA1,2
ICR1,ICR1,2
IRT1,IRT1,15
ITS1-1,ITS1-1,0.5
ITS2-1,ITS2-1,9
LSR1,LSR1,42
NME1,NME1,6
Q0020,15S_RRNA,3
Q0045,COX1,0.3
Q0050,AI1,1
Q0055,AI2,0.7
Q0085,ATP6,
Q0105,COB,
Q0130,OLI1,1
Q0158,21S_RRNA,5
Q0160,SCEI,
Q0250,COX2,0.1
Q0275,COX3,2
RDN5-1,RDN5-1,34
RME2,RME2,1
RNA170,RNA170,14
RPR1,RPR1,20
RUF20,RUF20,34
RUF21,RUF21,2
RUF22,RUF22,
RUF23,RUF23,4
RUF5-1,RUF5-1,0.9
RUF5-2,RUF5-2,2
SCR1,SCR1,4
snR10,snR10,6
snR11,snR11,159
snR128,snR128,7
snR13,snR13,13
snR14,snR14,25
snR161,snR161,3
snR17a,snR17a,20
snR17b,snR17b,5
snR18,snR18,33
snR189,snR189,2
snR190,snR190,2
snR191,snR191,0.8
snR19,snR19,9
snR24,snR24,7
snR30,snR30,8
snR31,snR31,57
snR32,snR32,1
snR3,snR3,29
snR33,snR33,79
snR34,snR34,17
snR35,snR35,11
snR36,snR36,21
snR37,snR37,15
snR38,snR38,2
snR39,snR39,16
snR39B,snR39B,36
snR40,snR40,35
snR41,snR41,99
snR42,snR42,14
snR43,snR43,45
snR44,snR44,20
snR45,snR45,43
snR46,snR46,27
snR47,snR47,11
snR48,snR48,15
snR4,snR4,78
snR49,snR49,56
snR50,snR50,26
snR51,snR51,11
snR52,snR52,2
snR53,snR53,13
snR54,snR54,8
snR5,snR5,21
snR55,snR55,18
snR56,snR56,3
snR57,snR57,35
snR58,snR58,12
snR59,snR59,6
snR60,snR60,9
snR6,snR6,
snR61,snR61,56
snR62,snR62,51
snR63,snR63,8
snR64,snR64,48
snR65,snR65,13
snR66,snR66,27
snR67,snR67,38
snR68,snR68,72
snR69,snR69,113
snR70,snR70,45
snR71,snR71,38
snR72,snR72,7
snR74,snR74,3
snR75,snR75,7
snR76,snR76,18
snR77,snR77,10
snR78,snR78,10
snR79,snR79,14
snR7-L,snR7-L,
snR80,snR80,
snR81,snR81,3
snR82,snR82,21
snR83,snR83,15
snR84,snR84,8
snR85,snR85,2
snR86,snR86,36
snR87,snR87,36
snR8,snR8,25
snR9,snR9,172
SRG1,SRG1,43
tA(AGC)D,tA(AGC)D,3
tA(AGC)F,tA(AGC)F,31
tA(AGC)G,tA(AGC)G,
tA(AGC)H,tA(AGC)H,
tA(AGC)K1,tA(AGC)K1,6
tA(AGC)K2,tA(AGC)K2,8
tA(AGC)P,tA(AGC)P,3
tA(UGC)A,TGA1,
tA(UGC)E,tA(UGC)E,6
tA(UGC)G,tA(UGC)G,6
tA(UGC)L,tA(UGC)L,
tA(UGC)O,tA(UGC)O,12
tC(GCA)B,tC(GCA)B,32
tC(GCA)G,tC(GCA)G,
tC(GCA)P1,tC(GCA)P1,9
tC(GCA)P2,tC(GCA)P2,3
tD(GUC)B,tD(GUC)B,3
tD(GUC)G1,tD(GUC)G1,8
tD(GUC)G2,tD(GUC)G2,19
tD(GUC)I1,tD(GUC)I1,3
tD(GUC)I2,tD(GUC)I2,
tD(GUC)J1,tD(GUC)J1,22
tD(GUC)J3,tD(GUC)J3,3
tD(GUC)J4,tD(GUC)J4,3
tD(GUC)L2,tD(GUC)L2,13
tD(GUC)M,tD(GUC)M,4
tD(GUC)N,tD(GUC)N,168
tD(GUC)O,tD(GUC)O,12
tE(UUC)B,tE(UUC)B,24
tE(UUC)C,tE(UUC)C,4
tE(UUC)E1,tE(UUC)E1,76
tE(UUC)E2,tE(UUC)E2,4
